External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from,Photo,Source,Category
4031728,A Developers Take on Adobe Muse — Kiyuco Video,<p>Dan Smith of Kiyuco recorded a really good intro video explaining why a developer may want to consider using Muse and some of it's benefits. Definitely recommend watching it if you're curious about Adobe Muse.</p>,15-Jan-2013,01-Jan-2099,,0,Y, -1,/News/Business Catalyst News,,,,,,,http://kiyuco.com/images/tutorial-thumbs/185-MuseIntro.png,http://kiyuco.com/tutorials/a-developers-take-on-adobe-muse,
4166106,Accounting — New BC Gurus Template,<p>The new Business Catalyst template from BC Gurus is called Accounting. It is a mobile/tablet friendly theme built on the Foundation 4 framework and is fully responsive.</p>,28-May-2013,01-Jan-2099,,0,Y, -1,/News/Business Catalyst Templates;/News/BC Gurus Templates,,,,,,,/images/news/accounting-1.jpg,http://bcgurus.com/Template/accounting-template,BC News
4164519,Adding Business Catalyst features to your Muse sites,"<p>Learn how you can use Adobe Muse and Business Catalyst work together, to let you take full advantage of advanced features such as the blogging module.</p><style>    .embed-container { position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden; max-width: 100%; height: auto; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class=""embed-container""><iframe src=""http://www.youtube.com/embed/K-Od9LDWUcU"" frameborder=""0""></iframe></div>",27-Aug-2013,01-Jan-2099,,0,Y, -1,/Tutorials;/Tutorials/Business Catalyst;/Tutorials/Adobe Muse,,,,,,,,http://www.youtube.com/watch?v=K-Od9LDWUcU,AID BC News
8104769,Adobe announces End of Life for Business Catalyst,"<p>Today Adobe announced the End of Life for Business Catalyst.</p>
<p><strong>Important milestones</strong>
</p>
<p><strong>26TH MARCH 2018</strong>
</p>
<ul>
    <li>Announcement of Business Catalyst End Of Life date for March 26th 2020</li>
    <li>Trials can still be created from the Partner Portal or OBB, as long as they are upgraded by June 18th 2018</li>
</ul>
<p><strong>18TH JUNE 2018</strong>
</p>
<ul>
    <li>No new trials can be created</li>
    <li>No new sites can be upgraded to paid</li>
    <li>Support is prioritized for platform migration questions, in addition to critical security, compliance, and availability issues</li>
    <li>All sites will move to monthly billing on their first renewal date after June 18th 2018</li>
</ul>
<p><strong>26TH MARCH 2020</strong>
</p>
<ul>
    <li>All data is removed from the Business Catalyst infrastructure and sites become unavailable for the public</li>
</ul>",26-Mar-2018,01-Jan-9999,,0,Y, -1,,,,,,,,/images/news/EOL.png,https://www.businesscatalyst.com,BC News
4164518,Adobe Business Catalyst Feature Tour,"<p>See a detailed feature tour of the Adobe Business Catalyst platform.</p><style>    .embed-container { position: relative; padding-bottom: 56.25%; padding-top: 30px; height: 0; overflow: hidden; max-width: 100%; height: auto; } .embed-container iframe, .embed-container object, .embed-container embed { position: absolute; top: 0; left: 0; width: 100%; height: 100%; }</style><div class=""embed-container""><iframe src=""http://www.youtube.com/embed/V5q-h-mDn7M"" frameborder=""0""></iframe></div>",27-Aug-2013,01-Jan-2099,,0,Y, -1,/Tutorials;/Tutorials/Business Catalyst,,,,,,,,http://www.youtube.com/watch?v=V5q-h-mDn7M,AID BC News
4159164,Adobe Muse CC 5.0 Is Here!,"<p>On June 17th, Adobe released Muse CC 5.0 as part of its Creative Cloud offering. This update to Muse CC includes numerous features such as Scroll Motion animations (also known as parallax scrolling), the ability to use Muse Forms with any hosting provider that supports PHP, In-Browser Editing of Muse generated sites hosted by Business Catalyst, a new Layers Panel, and Vertical Text. This release also includes several bug fixes, minor code-gen improvements to simplify the HTML and improve fidelity in older browsers and a significant improvement to the handling of rotated objects.</p>",20-Aug-2013,01-Jan-2099,,0,Y, -1,/Tutorials;/Tutorials/Adobe Muse,,,,,,,/images/news/MuseCC.png,http://blogs.adobe.com/muse/2013/06/17/muse-5-code-improvements-and-ie-7/,AID BC News
4034003,AID BC launches affiliate program for BC Partners,"<p>Today we take the wraps off of our affiliate program for BC Partners. We want to help BC partners by offering training classes to their clients and with the launch of our affiliate program, you can now earn extra income for your referrals.</p><p>You can learn more about our affiliate program, and signup in a few minutes! Then you just need to post the link on your website, email it to your clients or post it on your social networking sites to start earning revenue!</p><p><a href=""/affiliates/join"">read more &rarr;</a></p>",07-Feb-2013,01-Jan-2099,,0,N, -1,/News/AID BC News,,,,,,,/images/news/aidbc-affiliate.png,https://aidbc.worldsecuresystems.com/affiliates/join,AID BC News
4290393,AID&#43;BC and Practically Inspired Launch BackupBC,"<p>Karim Ardalan, from <a href=""http://www.yourmis.com"">MIS Inc.</a> and <a href=""https://www.aidbc.com"">AID+BC</a>, and Joe Wellborn, from <a href=""http://www.practicallyinspired.com"">Practically Inspired</a>, have partnered up to bring you the Business Catalyst backup solution that will let you sleep better at night! BackupBC is using the new BC Open Platform and will be available very soon on the BC app store. BackupBC fits seamlessly inside the admin console, so there&rsquo;s no need to go anywhere else to backup your website. You can also save backups right on your website or save copies to your local hard drive. Backup BC is so easy to use that you and your clients can start your first back up in seconds!</p>
",03-Feb-2014,01-Jan-9999,,0,Y, -1,,,,,,,,/images/backup-bc.jpg,http://www.backupbc.com/,AID BC News
4195021,AID+BC Launches Tutorials!,"<p>AID+BC is really excited to announce our new tutorials! Having worked with Business Catalyst since 2008 and Muse since 2012, we've received a lot of questions from users on how to integrate the two products. With our new tutorials we aim to provide step-by-step instructions to help you connect these two great platforms. We hope you enjoy the first tutorial, and look forward to your feedback and suggestions for future topics.</p>",03-Oct-2013,01-Jan-9999,,0,Y, -1,/News/AID BC News,,,,,,,/images/news/add-a-bc-shopping-cart-to-muse2.png,https://www.aidbc.com/business-catalyst-muse-tutorials/,AID BC News
4192758,All new Muse tutorial videos on Adobe TV,<p>Adobe has recently added a whole new set of tutorial videos on Muse on Adobe TV. They are divided into the following categories:</p><ul>    <li>New Features</li>    <li>Essential Tasks-Structuring your Site and Pages</li>    <li>Essential Tasks</li>    <li>Essential Tasks-Working with Graphics Assets</li>    <li>Essential Tasks-Integrating Social Media</li>    <li>Advanced Techniques</li></ul><div>I highly recommend watching them if you're interested in learning more about Adobe Muse.</div>,24-Sep-2013,01-Jan-9999,,0,Y, -1,/Tutorials;/Tutorials/Business Catalyst;/Tutorials/Muse,,,,,,,/images/news/adobe-muse-tutorials-on-adobe-tv.png,http://tv.adobe.com/show/learn-adobe-muse-cc/,BC News
4032802,Announcement on the official Business Catalyst Blog,"<p>We are thrilled to see the announcement of our upcoming Business Catalyst training classes posted on the official Business Catalyst blog! Due to this announcement, we've extended our early bird registration discount until February 8th. If you haven't registered yet,&nbsp;<strong><a href=""https://www.aidbc.com/locations"" title=""/locations"">sign up today and save $200</a>!</strong>&nbsp;<strong>Space is limited</strong>.</p>",02-Feb-2013,01-Jan-2099,,0,Y, -1,/News/AID BC News;/News/Business Catalyst News;/News/Adobe News,,,,,,,/images/news/bc-blog.png,http://www.businesscatalyst.com/_blog/BC_Blog/post/AID_BC's_Hands-on_BC_Training_Program_powered_by_dashbee/,
